Date time,Latitude,Longitude,Magnitude,Depth (km),Location,Agency,Cluster
2022-09-22 17:59:06.943275+00:00,0.6357231736,123.8079071,4.310616587,254,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-09-23 09:50:18.193856+00:00,0.09727314115,123.618454,4.866523914,143,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-09-23 13:28:33.092707+00:00,1.144032598,124.0405197,2.957962587,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-23 14:04:05.482006+00:00,1.327349782,123.6825104,2.996063564,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-23 16:32:23.989739+00:00,0.4960803092,125.9388809,2.774673848,10,Northern Molucca Sea,BMKG,3
2022-09-26 00:27:09.150200+00:00,0.2704973817,125.3753662,3.719168692,12,Northern Molucca Sea,BMKG,3
2022-09-26 22:08:59.782989+00:00,0.9683369994,125.6301422,3.316749715,12,Northern Molucca Sea,BMKG,3
2022-09-27 05:15:59.440050+00:00,0.1902336329,123.9449081,3.79265625,71,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-09-27 09:39:19.053184+00:00,0.5109526515,124.5317078,3.934294497,29,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-09-30 15:02:35.056999+00:00,0.2393691391,123.7991333,3.207808994,233,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-10-01 16:56:59.670798+00:00,1.237616301,125.8408813,3.622653224,138,Northern Molucca Sea,BMKG,4
2022-10-07 07:34:55.865404+00:00,0.4863103926,125.1453629,3.516723032,21,Northern Molucca Sea,BMKG,3
2022-10-07 21:13:50.711020+00:00,1.886342645,125.9601364,3.420811512,20,Northern Molucca Sea,BMKG,3
2022-10-08 02:05:53.817812+00:00,0.3418445587,125.4453964,3.583230778,10,Northern Molucca Sea,BMKG,3
2022-10-12 15:24:15.784900+00:00,0.5282098651,124.3487396,3.688290297,189,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-10-12 20:47:49.041737+00:00,1.160023093,123.187767,2.744024273,99,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-10-13 21:10:47.460244+00:00,0.9955558181,125.7311401,3.088222373,22,Northern Molucca Sea,BMKG,3
2022-10-17 13:12:47.748426+00:00,0.0279770717,123.48629,4.909590343,129,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-10-19 23:02:22.492604+00:00,0.5492043495,125.6590652,3.578568903,10,Northern Molucca Sea,BMKG,3
2022-10-20 09:54:43.476717+00:00,0.2407038659,123.7505035,2.899351843,212,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-10-28 03:27:35.092380+00:00,2.089775801,124.8516312,4.814384483,191,Celebes Sea,BMKG,2
2022-10-30 01:18:15.443491+00:00,2.166127682,125.6467819,3.463935203,10,"Talaud Islands, Indonesia",BMKG,3
2022-10-30 20:22:19.411162+00:00,2.054601431,125.7503662,3.735562627,10,"Talaud Islands, Indonesia",BMKG,3
2022-10-31 10:54:33.733086+00:00,2.063340664,125.7162323,3.723964997,10,"Talaud Islands, Indonesia",BMKG,3
2022-10-31 12:40:06.460408+00:00,2.02710104,125.7129288,3.3981019,10,"Talaud Islands, Indonesia",BMKG,3
2022-10-31 14:49:02.423743+00:00,2.110465288,125.7185211,3.819521217,10,"Talaud Islands, Indonesia",BMKG,3
2022-11-03 03:54:01.360316+00:00,0.6565054059,125.3317413,4.254633448,16,Northern Molucca Sea,BMKG,1
2022-11-03 23:17:43.082599+00:00,2.031201601,124.5048523,3.679058779,260,Celebes Sea,BMKG,2
2022-11-06 00:03:14.005902+00:00,2.599883556,124.6740646,5.641210032,245,Celebes Sea,BMKG,2
2022-11-08 07:46:04.238915+00:00,0.2218953669,124.7326584,4.195423615,12,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-11-11 06:33:53.055231+00:00,0.6341810822,125.2952423,3.653305376,10,Northern Molucca Sea,BMKG,3
2022-11-12 11:01:40.125141+00:00,1.377546072,123.2815399,5.155800853,10,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-11-12 17:40:24.420670+00:00,2.29746604,125.421257,3.900241607,130,"Talaud Islands, Indonesia",BMKG,4
2022-11-13 04:43:30.316067+00:00,0.3124901652,124.8563232,3.401651336,26,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-11-14 17:14:20.210571+00:00,0.595236361,124.5738831,3.576352966,119,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-11-20 20:09:55.630172+00:00,2.192667961,124.8356552,3.857080015,237,Celebes Sea,BMKG,2
2022-11-24 19:39:03.429358+00:00,2.724288702,125.7687912,4.0655746,95,"Talaud Islands, Indonesia",BMKG,1
2022-11-27 05:43:30.322569+00:00,0.1411783546,124.3262939,3.084700159,45,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-11-27 12:45:42.129103+00:00,2.561150074,125.5973129,3.646207716,162,"Talaud Islands, Indonesia",BMKG,4
2022-11-27 21:44:19.905164+00:00,0.3608878553,125.2382584,3.268916159,26,Northern Molucca Sea,BMKG,3
2022-11-28 21:04:15.839600+00:00,0.6371480823,125.0338821,3.570277913,16,Northern Molucca Sea,BMKG,3
